S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
12,2015-16,Málaga,0–1,1–0,1–2,2–0,2–0,0–0,1–1,3–0,2–2,4–1,3–1,,1–1,0–1,1–1,3–1,0–0,1–0,1–2,0–1,8,38,12,12,14
13,2015-16,Rayo Vallecano,0–3,0–2,1–5,3–0,1–3,1–1,3–0,2–0,2–1,2–0,3–1,1–2,,0–2,2–3,2–2,2–2,2–1,0–0,2–1,18,38,9,11,18
14,2015-16,Real Betis,1–3,0–1,0–2,1–1,1–2,0–4,1–3,2–1,2–0,1–0,1–0,0–1,2–2,,1–1,1–0,0–0,1–1,1–0,1–1,10,38,11,12,15
15,2015-16,Real Madrid,4–2,0–1,0–4,7–1,5–0,4–0,6–0,4–1,1–0,3–1,3–0,0–0,10–2,5–0,,3–1,4–0,5–1,3–2,3–0,2,38,28,6,4
16,2015-16,Real Sociedad,0–0,0–2,1–0,2–3,1–1,2–1,2–3,1–2,3–0,0–1,1–1,1–1,2–1,2–1,0–1,,2–0,0–0,2–0,0–2,9,38,13,9,16
17,2015-16,Sevilla,2–0,0–3,2–1,1–2,1–1,1–0,2–0,5–0,1–4,2–0,3–1,2–1,3–2,2–0,3–2,1–2,,2–0,1–0,4–2,7,38,14,10,14
18,2015-16,Sporting Gijón,0–2,2–1,1–3,0–1,1–1,2–0,2–4,1–2,3–3,3–1,0–3,1–0,2–2,1–2,0–0,5–1,2–1,,0–1,2–0,17,38,10,9,19
19,2015-16,Valencia,0–3,1–3,1–1,0–2,1–1,4–0,2–1,2–2,1–0,1–1,3–0,3–0,2–2,0–0,2–2,0–1,2–1,0–1,,0–2,12,38,11,11,16
20,2015-16,Villarreal,3–1,1–0,2–2,1–2,0–2,1–1,3–1,2–0,1–0,0–1,3–0,1–0,2–1,0–0,1–0,0–0,2–1,2–0,1–0,,4,38,18,10,10
1,2014-15,Almería,,0–1,0–1,1–2,2–2,1–1,0–0,2–0,2–2,1–1,1–0,3–0,1–4,1–2,0–1,1–4,2–2,0–2,2–3,0–0,19,38,8,8,22
2,2014-15,Athletic Bilbao,2–1,,1–4,2–5,1–1,0–1,1–1,0–0,1–2,3–1,4–0,0–1,3–0,1–1,1–0,1–0,1–1,1–0,1–1,4–0,7,38,15,10,13
3,2014-15,Atlético Madrid,3–0,0–0,,0–1,2–2,4–2,2–0,2–1,3–0,2–0,2–0,2–0,3–1,3–1,3–1,4–0,2–0,4–0,1–1,0–1,3,38,23,9,6
4,2014-15,Barcelona,4–0,2–0,3–1,,0–1,5–0,2–2,3–0,3–0,5–1,6–0,6–0,5–0,0–1,6–1,2–1,2–0,5–1,2–0,3–2,1,38,30,4,4
5,2014-15,Celta Vigo,0–1,1–2,2–0,0–1,,1–0,2–1,0–1,1–1,3–2,3–1,0–0,3–0,1–0,6–1,2–4,2–2,1–1,1–1,1–3,8,38,13,12,13
6,2014-15,Córdoba,1–2,0–1,0–2,0–8,1–1,,0–0,1–1,0–2,0–0,1–2,2–0,0–0,1–2,1–2,1–2,1–1,1–3,1–2,0–2,20,38,3,11,24
7,2014-15,Deportivo La Coruña,0–1,1–0,1–2,0–4,0–2,1–1,,2–0,1–0,0–0,1–2,2–2,2–0,0–1,2–2,2–8,0–0,3–4,3–0,1–1,16,38,7,14,17
8,2014-15,Eibar,5–2,0–1,1–3,0–2,0–1,3–0,0–1,,0–1,0–2,2–1,1–1,3–3,1–0,1–2,0–4,1–0,1–3,0–1,1–1,18,38,9,8,21
9,2014-15,Elche,1–0,2–3,0–2,0–6,0–1,2–2,4–0,0–2,,2–1,0–1,1–1,1–0,1–2,2–0,0–2,1–0,0–2,0–4,2–2,13,38,11,8,19
10,2014-15,Espanyol,3–0,1–0,0–0,0–2,1–0,1–0,0–0,1–2,1–1,,2–0,2–1,2–1,2–2,1–1,1–4,2–0,1–2,1–2,1–1,10,38,13,10,15
11,2014-15,Getafe,1–0,1–2,0–1,0–0,2–1,1–1,2–1,1–1,0–0,2–1,,1–2,0–1,1–0,1–2,0–3,0–1,2–1,0–3,1–1,15,38,10,7,21
12,2014-15,Granada,0–0,0–0,0–0,1–3,1–1,2–0,2–1,0–0,1–0,1–2,1–1,,0–1,1–0,0–1,0–4,1–1,1–1,1–1,0–0,17,38,7,14,17
13,2014-15,Levante,2–1,0–2,2–2,0–5,0–1,1–0,0–0,2–1,0–0,2–2,1–1,2–1,,4–1,0–2,0–5,1–1,1–2,2–1,0–2,14,38,9,10,19
14,2014-15,Málaga,1–2,1–0,2–2,0–0,1–0,2–0,1–1,2–1,1–2,0–2,3–2,2–1,0–0,,4–0,1–2,1–1,2–3,1–0,1–1,9,38,14,8,16
15,2014-15,Rayo Vallecano,2–0,2–1,0–0,0–2,1–0,0–1,1–2,2–3,2–3,1–3,2–0,3–1,4–2,1–0,,0–2,2–4,0–1,1–1,2–0,11,38,15,4,19
16,2014-15,Real Madrid,3–0,5–0,1–2,3–1,3–0,2–0,2–0,3–0,5–1,3–0,7–3,9–1,2–0,3–1,5–1,,4–1,2–1,2–2,1–1,2,38,30,2,6
17,2014-15,Real Sociedad,1–2,1–1,2–1,1–0,1–1,3–1,2–2,1–0,3–0,1–0,1–2,0–3,3–0,0–1,0–1,4–2,,4–3,1–1,0–0,12,38,11,13,14
18,2014-15,Sevilla,2–1,2–0,0–0,2–2,1–0,3–0,4–1,0–0,3–0,3–2,2–0,5–1,1–1,2–0,2–0,2–3,1–0,,1–1,2–1,5,38,23,7,8
19,2014-15,Valencia,3–2,0–0,3–1,0–1,1–1,3–0,2–0,3–1,3–1,3–1,1–0,4–0,3–0,3–0,3–0,2–1,2–0,3–1,,0–0,4,38,22,11,5
20,2014-15,Villarreal,2–0,2–0,0–1,0–1,4–1,0–0,3–0,1–0,1–0,0–3,2–1,2–0,1–0,2–1,4–2,0–2,4–0,0–2,1–3,,6,38,16,12,10
